I have a Check engine light on when driving,Use an OBD-II scanner to read trouble codes and focus diagnostics on reported system.,
Getting a Engine overheating in the van,"Check coolant level, radiator fan operation, thermostat, and for clogged radiator.",
I'm having a AC compressor not engaging under load,"Check clutch relay, fuse, pressure switches, and compressor electrical supply. If you're not comfortable, a shop can run a proper diagnostic for you.",
My Clutch slipping in the truck,Clutch disc worn or pressure plate issue; may need clutch replacement.,
Getting a Cruise control not engaging when driving,"Check brake/clutch switch, speed sensor, or cruise module. A quick scan with an OBD-II tool can reveal useful codes.",
My High idle when accelerating,Possible stuck throttle or vacuum leak; check idle control and vacuum lines.,
Getting a Engine cranks but won't start in the motorbike,"Fuel or ignition problem likely. Check fuel pump, injectors, and spark supply.",
Engine overheating when accelerating,"Check coolant level, radiator fan operation, thermostat, and for clogged radiator.",
Headlight out,"Check bulb, fuse, and socket for corrosion or wiring issues.",
My Car won't start when driving,"Check battery voltage, starter operation, and fuel delivery. Try a jump start and scan for codes.",
I have a Hybrid not charging intermittently,Regenerative system issue or inverter; scan for hybrid-specific codes.,
The Fuel smell in cabin on cold start,"Inspect fuel lines, injector seals, and fuel tank vent for leaks.",
I have a Rough idle when driving,"Vacuum leak, dirty throttle body, or ignition faults. Inspect hoses and perform throttle cleaning. Try inspecting related components and let me know what you find.",
My Tire vibration when accelerating,Wheel imbalance or damaged tire. Check balance and inspect for uneven wear.,
My AC not cooling intermittently,Sounds like low refrigerant or a failing compressor clutch. Check system pressure and compressor engagement.,
Hybrid not charging when accelerating,Regenerative system issue or inverter; scan for hybrid-specific codes. Try inspecting related components and let me know what you find.,
I have a Gear grinding intermittently,Linkage misadjustment or synchronizer wear; inspect transmission externally and shift linkage.,
My Low oil pressure in the truck,"Check engine oil level first. If normal, oil pump or sensor issues may be present. Start with basic checks: fluids, belts, fuses, and visible leaks.",
I'm having a Alternative fuel issues in the car,"Diesel engines: check injectors, air filters, and EGR. For hybrids: check high-voltage alerts.",
My diesel truck has Engine cranks but won't start,"Fuel or ignition problem likely. Check fuel pump, injectors, and spark supply.",
The Engine cranks but won't start intermittently,"Fuel or ignition problem likely. Check fuel pump, injectors, and spark supply. If you're not comfortable, a shop can run a proper diagnostic for you.",
The Exhaust smell inside car under load,"Possible exhaust leak entering cabin; inspect exhaust manifold, gaskets, and seals.",
I'm having a Battery drains overnight when driving,Possible parasitic draw or failing alternator. Perform a current draw test and inspect accessories.,
My Transmission fluid leak intermittently,"Check pan gasket, cooler lines, and seals. Repair leaks and top up fluid. Try inspecting related components and let me know what you find.",
The Power loss under load,"Fuel delivery or turbo/intercooler issue. Inspect fuel filter, fuel pressure, and boost system. Try inspecting related components and let me know what you find.",
AC compressor not engaging after rain,"Check clutch relay, fuse, pressure switches, and compressor electrical supply.",
I have a Battery dead,"Battery may be discharged or faulty. Test battery voltage and charging system (alternator). Check the battery terminals, fuses, and listen for unusual noises.",
My Smoke from exhaust - blue when driving,"Blue smoke means oil burning; check valve seals, rings, or PCV system. If you're not comfortable, a shop can run a proper diagnostic for you.",
The Hybrid not charging when driving,"Regenerative system issue or inverter; scan for hybrid-specific codes. If you're not comfortable, a shop can run a proper diagnostic for you.",
My Headlight out when driving,"Check bulb, fuse, and socket for corrosion or wiring issues.",
I have a Gear grinding after rain,Linkage misadjustment or synchronizer wear; inspect transmission externally and shift linkage.,
The Suspension noise on cold start,"Inspect struts, shocks, bushings, and sway bar links for wear or looseness.",
I'm having a Steering pull to one side when driving,Wheel alignment or uneven tire pressure - check pressures and alignment.,
My Gear grinding when accelerating,Linkage misadjustment or synchronizer wear; inspect transmission externally and shift linkage.,
Check engine light on intermittently,Use an OBD-II scanner to read trouble codes and focus diagnostics on reported system. A quick scan with an OBD-II tool can reveal useful codes.,
I have a Rough idle in my motorbike,"Vacuum leak, dirty throttle body, or ignition faults. Inspect hoses and perform throttle cleaning.",
I have a ABS pump noise in the motorbike,"Normal during self-test; if constant, check ABS module or pump motor.",
Check engine light on when driving,Use an OBD-II scanner to read trouble codes and focus diagnostics on reported system.,
Getting a Catalytic converter smell when accelerating,"A rotten egg smell often indicates a failing catalytic converter. Start with basic checks: fluids, belts, fuses, and visible leaks.",
My Timing chain rattle in the truck,Timing chain tensioner or guide wear; inspect and replace tensioner/chain if needed.,
Getting a Coolant leak when accelerating,"Inspect hoses, radiator, water pump, and head gasket. Pressure test the cooling system. Check the battery terminals, fuses, and listen for unusual noises.",
My truck has AC not cooling,Sounds like low refrigerant or a failing compressor clutch. Check system pressure and compressor engagement.,
Sunroof leak when accelerating,Check seals and drainage channels; clean drains and reseal if needed. Try inspecting related components and let me know what you find.,
AC smells bad,Mold in the evaporator or a dirty cabin filter. Replace the cabin filter and use an evaporator cleaner. A quick scan with an OBD-II tool can reveal useful codes.,
Getting a Brake squeal at idle,"Likely worn brake pads or glazing. Inspect pads, rotors and hardware; replace or clean as needed.",
I have a Alternative fuel issues intermittently,"Diesel engines: check injectors, air filters, and EGR. For hybrids: check high-voltage alerts.",
The Sunroof won't close,"Check motor, limit switches, and track debris.",
I'm having a Timing chain rattle after rain,Timing chain tensioner or guide wear; inspect and replace tensioner/chain if needed. Try inspecting related components and let me know what you find.,
Cruise control not engaging in the motorcycle,"Check brake/clutch switch, speed sensor, or cruise module. If you're not comfortable, a shop can run a proper diagnostic for you.",
I have a Sunroof leak,Check seals and drainage channels; clean drains and reseal if needed.,
The Brake pedal soft after rain,"Air in the brake lines or fluid leak. Bleed the brakes and check for leaks in lines/cylinders. Check for obvious issues like low fluid, worn belts, or loose connections.",
Exhaust smell inside car on cold start,"Possible exhaust leak entering cabin; inspect exhaust manifold, gaskets, and seals.",
I'm having a Engine misfire intermittently,Bad spark plugs/ignition coils or clogged injectors are common. Scan codes and inspect ignition components. A quick scan with an OBD-II tool can reveal useful codes.,
My Exhaust smell inside car when accelerating,"Possible exhaust leak entering cabin; inspect exhaust manifold, gaskets, and seals.",
Getting a Door lock failure at idle,"Actuator or wiring problem; test lock motor and fuses. Start with basic checks: fluids, belts, fuses, and visible leaks.",
ABS pump noise at idle,"Normal during self-test; if constant, check ABS module or pump motor.",
Getting a Starter clicking when accelerating,Weak battery or poor connections. Test battery and starter current. Try inspecting related components and let me know what you find.,
I'm having a ABS pump noise in my van,"Normal during self-test; if constant, check ABS module or pump motor. If you're not comfortable, a shop can run a proper diagnostic for you.",
My Clutch slipping after rain,Clutch disc worn or pressure plate issue; may need clutch replacement. Try inspecting related components and let me know what you find.,
I have a Interior lights dim under load,"Faulty charging circuit or battery; test alternator output and battery health. Start with basic checks: fluids, belts, fuses, and visible leaks.",
I have a light truck has Transmission slips,"Check transmission fluid level and condition. If burnt or low, service fluid and inspect for leaks.",
The Remote key fob not working intermittently,Replace battery and reprogram or check receiver module. Try inspecting related components and let me know what you find.,
The AC smells bad in my light truck,Mold in the evaporator or a dirty cabin filter. Replace the cabin filter and use an evaporator cleaner.,
Getting a Dashboard flicker intermittently,Electrical grounding or alternator regulator problem; check battery terminals.,
I'm having a Smoke from exhaust - white lately,White smoke often indicates coolant entering combustion - head gasket/burn coolant.,
My Oil consumption high intermittently,"Worn rings, valve guides or PCV issues; measure consumption and inspect.",
I have a Fuel smell in cabin,"Inspect fuel lines, injector seals, and fuel tank vent for leaks. If you're not comfortable, a shop can run a proper diagnostic for you.",
My EV battery warning lately,High-voltage battery or BMS alert; require dealer-level diagnosis for hybrids/EVs.,
I have a Clutch slipping under load,Clutch disc worn or pressure plate issue; may need clutch replacement.,
I have a Oil consumption high when accelerating,"Worn rings, valve guides or PCV issues; measure consumption and inspect.",
I'm having a Door lock failure after rain,Actuator or wiring problem; test lock motor and fuses.,
I have a ABS light on in the light truck,Check wheel speed sensors and ABS modules. Scan for ABS-specific codes. Try inspecting related components and let me know what you find.,
Getting a Battery drains overnight intermittently,Possible parasitic draw or failing alternator. Perform a current draw test and inspect accessories. A quick scan with an OBD-II tool can reveal useful codes.,
I have a Oil consumption high lately,"Worn rings, valve guides or PCV issues; measure consumption and inspect. Try inspecting related components and let me know what you find.",
The Fuel smell in cabin when driving,"Inspect fuel lines, injector seals, and fuel tank vent for leaks. Start with basic checks: fluids, belts, fuses, and visible leaks.",
I'm having a Transmission fluid leak,"Check pan gasket, cooler lines, and seals. Repair leaks and top up fluid.",
I have a AC compressor not engaging in my car,"Check clutch relay, fuse, pressure switches, and compressor electrical supply.",
Excessive fuel consumption on cold start,"Dirty air filter, bad O2 sensor, or low tire pressure can cause poor economy.",
I have a Transmission fluid leak under load,"Check pan gasket, cooler lines, and seals. Repair leaks and top up fluid. Try inspecting related components and let me know what you find.",
My Smoke from exhaust - white at idle,White smoke often indicates coolant entering combustion - head gasket/burn coolant.,
Getting a Starter clicking under load,Weak battery or poor connections. Test battery and starter current.,
My Transmission fluid leak in my diesel truck,"Check pan gasket, cooler lines, and seals. Repair leaks and top up fluid.",
Getting a Car won't start lately,"Check battery voltage, starter operation, and fuel delivery. Try a jump start and scan for codes. Start with basic checks: fluids, belts, fuses, and visible leaks.",
I'm having a Remote key fob not working on cold start,Replace battery and reprogram or check receiver module.,
My Power loss under load,"Fuel delivery or turbo/intercooler issue. Inspect fuel filter, fuel pressure, and boost system. A quick scan with an OBD-II tool can reveal useful codes.",
Getting a Battery drains overnight,Possible parasitic draw or failing alternator. Perform a current draw test and inspect accessories. Try inspecting related components and let me know what you find.,
I have a AC blows hot air intermittently,Likely low refrigerant or compressor failure. Inspect for leaks and test compressor clutch.,
I have a Engine misfire under load,"Bad spark plugs/ignition coils or clogged injectors are common. Scan codes and inspect ignition components. Check the battery terminals, fuses, and listen for unusual noises.",
The Check engine after refuel in my lorry,A loose gas cap or EVAP system issue can trigger the light - tighten the cap and re-check.,
The Cruise control not engaging when driving,"Check brake/clutch switch, speed sensor, or cruise module. If you're not comfortable, a shop can run a proper diagnostic for you.",
I have a Steering pull to one side on cold start,"Wheel alignment or uneven tire pressure - check pressures and alignment. Check the battery terminals, fuses, and listen for unusual noises.",
Getting a Interior lights dim when driving,Faulty charging circuit or battery; test alternator output and battery health.,
Getting a EV battery warning when driving,High-voltage battery or BMS alert; require dealer-level diagnosis for hybrids/EVs.,
I have a Excessive fuel consumption in the diesel truck,"Dirty air filter, bad O2 sensor, or low tire pressure can cause poor economy. A quick scan with an OBD-II tool can reveal useful codes.",
Getting a light truck has Check engine after refuel,A loose gas cap or EVAP system issue can trigger the light - tighten the cap and re-check. Try inspecting related components and let me know what you find.,
I have a Speedometer quits in my motorbike,Vehicle speed sensor or instrument cluster fault likely.,
I'm having a High idle after rain,Possible stuck throttle or vacuum leak; check idle control and vacuum lines.,
My Sunroof leak under load,Check seals and drainage channels; clean drains and reseal if needed.,
I have a Gear grinding at idle,Linkage misadjustment or synchronizer wear; inspect transmission externally and shift linkage.,
The Suspension noise intermittently,"Inspect struts, shocks, bushings, and sway bar links for wear or looseness.",
lorry has Tire vibration,Wheel imbalance or damaged tire. Check balance and inspect for uneven wear.,
The Clutch slipping in the light truck,Clutch disc worn or pressure plate issue; may need clutch replacement.,
My Park assist sensor fault after rain,Check sensors for dirt/damage and scan for parking system codes. Try inspecting related components and let me know what you find.,
Brake squeal at idle,"Likely worn brake pads or glazing. Inspect pads, rotors and hardware; replace or clean as needed.",
I'm having a Excessive fuel consumption at idle,"Dirty air filter, bad O2 sensor, or low tire pressure can cause poor economy.",
ABS light on intermittently,Check wheel speed sensors and ABS modules. Scan for ABS-specific codes.,
My pickup has Suspension noise,"Inspect struts, shocks, bushings, and sway bar links for wear or looseness. Try inspecting related components and let me know what you find.",
I'm having a motorbike has Door lock failure,Actuator or wiring problem; test lock motor and fuses.,
I have a Smoke from exhaust - black when driving,Black smoke indicates rich running - check injectors and air intake restrictions. Try inspecting related components and let me know what you find.,
The Check engine after refuel,A loose gas cap or EVAP system issue can trigger the light - tighten the cap and re-check.,
My ABS light on when accelerating,Check wheel speed sensors and ABS modules. Scan for ABS-specific codes.,
Getting a Check engine light on when driving,Use an OBD-II scanner to read trouble codes and focus diagnostics on reported system.,
I'm having a Power loss under load at idle,"Fuel delivery or turbo/intercooler issue. Inspect fuel filter, fuel pressure, and boost system.",
I'm having a Brake pedal soft when driving,Air in the brake lines or fluid leak. Bleed the brakes and check for leaks in lines/cylinders.,
My Steering pull to one side when driving,Wheel alignment or uneven tire pressure - check pressures and alignment.,
I have a Headlight out intermittently,"Check bulb, fuse, and socket for corrosion or wiring issues. If you're not comfortable, a shop can run a proper diagnostic for you.",
I'm having a Timing chain rattle in my motorbike,"Timing chain tensioner or guide wear; inspect and replace tensioner/chain if needed. Start with basic checks: fluids, belts, fuses, and visible leaks.",
My lorry has Starter intermittent,Heat soak or wiring issue; test starter relay and voltage at starter when fault occurs.,
Getting a Rough idle under load,"Vacuum leak, dirty throttle body, or ignition faults. Inspect hoses and perform throttle cleaning. A quick scan with an OBD-II tool can reveal useful codes.",
Getting a motorbike has Steering heavy,"Check power steering fluid level, belt drive, and power steering pump condition. Start with basic checks: fluids, belts, fuses, and visible leaks.",
Transmission won't shift in the lorry,Possible solenoid failure or low fluid. Scan transmission codes and test fluid pressure. Try inspecting related components and let me know what you find.,
The Transmission fluid leak after rain,"Check pan gasket, cooler lines, and seals. Repair leaks and top up fluid. Try inspecting related components and let me know what you find.",
lorry has Coolant leak,"Inspect hoses, radiator, water pump, and head gasket. Pressure test the cooling system.",
My light truck has Rough idle,"Vacuum leak, dirty throttle body, or ignition faults. Inspect hoses and perform throttle cleaning.",
I'm having a AC smells bad in my motorcycle,Mold in the evaporator or a dirty cabin filter. Replace the cabin filter and use an evaporator cleaner. A quick scan with an OBD-II tool can reveal useful codes.,
Getting a Transmission won't shift in my lorry,Possible solenoid failure or low fluid. Scan transmission codes and test fluid pressure.,
Catalytic converter smell,A rotten egg smell often indicates a failing catalytic converter.,
I'm having a Windshield wipers not working lately,"Check fuse, relay, or wiper motor; also inspect linkage. If you're not comfortable, a shop can run a proper diagnostic for you.",
I'm having a Heater core leak under load,Heater core replacement typically needed; you may smell coolant in cabin. A quick scan with an OBD-II tool can reveal useful codes.,
Suspension noise when driving,"Inspect struts, shocks, bushings, and sway bar links for wear or looseness.",
My Heater core leak under load,"Heater core replacement typically needed; you may smell coolant in cabin. Start with basic checks: fluids, belts, fuses, and visible leaks.",
Smoke from exhaust - black under load,"Black smoke indicates rich running - check injectors and air intake restrictions. Check the battery terminals, fuses, and listen for unusual noises.",
The Battery dead when accelerating,Battery may be discharged or faulty. Test battery voltage and charging system (alternator).,
Getting a Rough idle when driving,"Vacuum leak, dirty throttle body, or ignition faults. Inspect hoses and perform throttle cleaning.",
The Headlight out after rain,"Check bulb, fuse, and socket for corrosion or wiring issues. If you're not comfortable, a shop can run a proper diagnostic for you.",
My Alternative fuel issues when driving,"Diesel engines: check injectors, air filters, and EGR. For hybrids: check high-voltage alerts.",
The light truck has Windshield wipers not working,"Check fuse, relay, or wiper motor; also inspect linkage.",
I'm having a ABS light on under load,Check wheel speed sensors and ABS modules. Scan for ABS-specific codes.,
I'm having a Engine overheating in my SUV,"Check coolant level, radiator fan operation, thermostat, and for clogged radiator.",
My Check engine light on on cold start,Use an OBD-II scanner to read trouble codes and focus diagnostics on reported system.,
Smoke from exhaust - blue after rain,"Blue smoke means oil burning; check valve seals, rings, or PCV system. Check the battery terminals, fuses, and listen for unusual noises.",
I have a Interior lights dim lately,Faulty charging circuit or battery; test alternator output and battery health.,
Excessive fuel consumption when accelerating,"Dirty air filter, bad O2 sensor, or low tire pressure can cause poor economy.",
The Suspension noise in my SUV,"Inspect struts, shocks, bushings, and sway bar links for wear or looseness. Start with basic checks: fluids, belts, fuses, and visible leaks.",
I'm having a Cruise control not engaging at idle,"Check brake/clutch switch, speed sensor, or cruise module.",
I'm having a Timing chain rattle in the diesel truck,Timing chain tensioner or guide wear; inspect and replace tensioner/chain if needed.,
My Smoke from exhaust - white when accelerating,"White smoke often indicates coolant entering combustion - head gasket/burn coolant. If you're not comfortable, a shop can run a proper diagnostic for you.",
I'm having a Engine cranks but won't start when accelerating,"Fuel or ignition problem likely. Check fuel pump, injectors, and spark supply. Start with basic checks: fluids, belts, fuses, and visible leaks.",
I'm having a Engine overheating when driving,"Check coolant level, radiator fan operation, thermostat, and for clogged radiator.",
lorry has Brake pedal soft,Air in the brake lines or fluid leak. Bleed the brakes and check for leaks in lines/cylinders.,
EV battery warning on cold start,High-voltage battery or BMS alert; require dealer-level diagnosis for hybrids/EVs.,
Getting a Engine cranks but won't start under load,"Fuel or ignition problem likely. Check fuel pump, injectors, and spark supply.",
My Oil consumption high at idle,"Worn rings, valve guides or PCV issues; measure consumption and inspect. Check for obvious issues like low fluid, worn belts, or loose connections.",
I'm having a Check engine after refuel intermittently,"A loose gas cap or EVAP system issue can trigger the light - tighten the cap and re-check. If you're not comfortable, a shop can run a proper diagnostic for you.",
The Catalytic converter smell lately,A rotten egg smell often indicates a failing catalytic converter.,
Getting a High idle under load,Possible stuck throttle or vacuum leak; check idle control and vacuum lines.,
I'm having a Oil consumption high in the motorbike,"Worn rings, valve guides or PCV issues; measure consumption and inspect. If you're not comfortable, a shop can run a proper diagnostic for you.",
Rough idle after rain,"Vacuum leak, dirty throttle body, or ignition faults. Inspect hoses and perform throttle cleaning.",
Fuel smell in cabin after rain,"Inspect fuel lines, injector seals, and fuel tank vent for leaks.",
I'm having a EV battery warning intermittently,High-voltage battery or BMS alert; require dealer-level diagnosis for hybrids/EVs.,
I have a AC not cooling in my car,Sounds like low refrigerant or a failing compressor clutch. Check system pressure and compressor engagement.,
Oil consumption high in my SUV,"Worn rings, valve guides or PCV issues; measure consumption and inspect. A quick scan with an OBD-II tool can reveal useful codes.",
I have a Low oil pressure in the motorbike,"Check engine oil level first. If normal, oil pump or sensor issues may be present.",
The Catalytic converter smell in the truck,"A rotten egg smell often indicates a failing catalytic converter. Check the battery terminals, fuses, and listen for unusual noises.",
I'm having a Park assist sensor fault in my car,Check sensors for dirt/damage and scan for parking system codes.,
motorcycle has Car won't start,"Check battery voltage, starter operation, and fuel delivery. Try a jump start and scan for codes. Start with basic checks: fluids, belts, fuses, and visible leaks.",
I have a Check engine light on when accelerating,Use an OBD-II scanner to read trouble codes and focus diagnostics on reported system.,
The Sunroof leak under load,Check seals and drainage channels; clean drains and reseal if needed.,
My Tire vibration when driving,Wheel imbalance or damaged tire. Check balance and inspect for uneven wear.,
Getting a Transmission won't shift when accelerating,Possible solenoid failure or low fluid. Scan transmission codes and test fluid pressure. A quick scan with an OBD-II tool can reveal useful codes.,
My Starter clicking when accelerating,Weak battery or poor connections. Test battery and starter current.,
Getting a Catalytic converter smell in my motorbike,A rotten egg smell often indicates a failing catalytic converter.,
Clutch slipping intermittently,"Clutch disc worn or pressure plate issue; may need clutch replacement. Check the battery terminals, fuses, and listen for unusual noises.",
I'm having a Heater core leak in the motorbike,"Heater core replacement typically needed; you may smell coolant in cabin. Start with basic checks: fluids, belts, fuses, and visible leaks.",
My AC smells bad under load,"Mold in the evaporator or a dirty cabin filter. Replace the cabin filter and use an evaporator cleaner. Check for obvious issues like low fluid, worn belts, or loose connections.",
I have a Dashboard flicker on cold start,"Electrical grounding or alternator regulator problem; check battery terminals. Start with basic checks: fluids, belts, fuses, and visible leaks.",
Getting a Door lock failure on cold start,Actuator or wiring problem; test lock motor and fuses.,
I'm having a Engine overheating under load,"Check coolant level, radiator fan operation, thermostat, and for clogged radiator. If you're not comfortable, a shop can run a proper diagnostic for you.",
My ABS light on intermittently,"Check wheel speed sensors and ABS modules. Scan for ABS-specific codes. Start with basic checks: fluids, belts, fuses, and visible leaks.",
Brake squeal in the truck,"Likely worn brake pads or glazing. Inspect pads, rotors and hardware; replace or clean as needed.",
I'm having a Engine misfire in the truck,Bad spark plugs/ignition coils or clogged injectors are common. Scan codes and inspect ignition components.,
My Headlight out at idle,"Check bulb, fuse, and socket for corrosion or wiring issues.",
The Transmission slips lately,"Check transmission fluid level and condition. If burnt or low, service fluid and inspect for leaks. If you're not comfortable, a shop can run a proper diagnostic for you.",
The EV battery warning when accelerating,High-voltage battery or BMS alert; require dealer-level diagnosis for hybrids/EVs.,
Getting a Engine misfire lately,"Bad spark plugs/ignition coils or clogged injectors are common. Scan codes and inspect ignition components. Check for obvious issues like low fluid, worn belts, or loose connections.",
The Park assist sensor fault at idle,"Check sensors for dirt/damage and scan for parking system codes. Check for obvious issues like low fluid, worn belts, or loose connections.",
I'm having a Power loss under load when accelerating,"Fuel delivery or turbo/intercooler issue. Inspect fuel filter, fuel pressure, and boost system. If you're not comfortable, a shop can run a proper diagnostic for you.",
The Smoke from exhaust - blue,"Blue smoke means oil burning; check valve seals, rings, or PCV system.",
Getting a Hybrid not charging after rain,Regenerative system issue or inverter; scan for hybrid-specific codes.,
My AC blows hot air on cold start,Likely low refrigerant or compressor failure. Inspect for leaks and test compressor clutch.,
My Engine overheating after rain,"Check coolant level, radiator fan operation, thermostat, and for clogged radiator.",
I have a High idle on cold start,Possible stuck throttle or vacuum leak; check idle control and vacuum lines.,
Getting a pickup has Engine misfire,Bad spark plugs/ignition coils or clogged injectors are common. Scan codes and inspect ignition components. Try inspecting related components and let me know what you find.,
The Dashboard flicker at idle,"Electrical grounding or alternator regulator problem; check battery terminals. Start with basic checks: fluids, belts, fuses, and visible leaks.",
My Speedometer quits on cold start,Vehicle speed sensor or instrument cluster fault likely.,
The Check engine after refuel when driving,A loose gas cap or EVAP system issue can trigger the light - tighten the cap and re-check.,
I'm having a truck has Car won't start,"Check battery voltage, starter operation, and fuel delivery. Try a jump start and scan for codes. Check the battery terminals, fuses, and listen for unusual noises.",
I have a Check engine light on in my car,Use an OBD-II scanner to read trouble codes and focus diagnostics on reported system.,
My ABS pump noise at idle,"Normal during self-test; if constant, check ABS module or pump motor.",
I have a Engine cranks but won't start intermittently,"Fuel or ignition problem likely. Check fuel pump, injectors, and spark supply.",
My Transmission won't shift when accelerating,Possible solenoid failure or low fluid. Scan transmission codes and test fluid pressure. A quick scan with an OBD-II tool can reveal useful codes.,
I have a ABS light on on cold start,Check wheel speed sensors and ABS modules. Scan for ABS-specific codes.,
I have a Heater core leak in the lorry,Heater core replacement typically needed; you may smell coolant in cabin.,
Getting a Headlight out,"Check bulb, fuse, and socket for corrosion or wiring issues. Try inspecting related components and let me know what you find.",
Remote key fob not working at idle,"Replace battery and reprogram or check receiver module. Check for obvious issues like low fluid, worn belts, or loose connections.",
I have a Engine overheating when driving,"Check coolant level, radiator fan operation, thermostat, and for clogged radiator.",
My AC blows hot air intermittently,"Likely low refrigerant or compressor failure. Inspect for leaks and test compressor clutch. Start with basic checks: fluids, belts, fuses, and visible leaks.",
The Tire vibration after rain,"Wheel imbalance or damaged tire. Check balance and inspect for uneven wear. Check the battery terminals, fuses, and listen for unusual noises.",
I have a Gear grinding,Linkage misadjustment or synchronizer wear; inspect transmission externally and shift linkage. Try inspecting related components and let me know what you find.,
My Starter intermittent after rain,Heat soak or wiring issue; test starter relay and voltage at starter when fault occurs.,
I have a Smoke from exhaust - white on cold start,White smoke often indicates coolant entering combustion - head gasket/burn coolant. A quick scan with an OBD-II tool can reveal useful codes.,
My Smoke from exhaust - blue on cold start,"Blue smoke means oil burning; check valve seals, rings, or PCV system. Check for obvious issues like low fluid, worn belts, or loose connections.",
I have a Catalytic converter smell when accelerating,"A rotten egg smell often indicates a failing catalytic converter. Check the battery terminals, fuses, and listen for unusual noises.",
The Fuel gauge inaccurate when accelerating,Check sender unit and wiring to fuel gauge cluster.,
I'm having a Battery drains overnight on cold start,Possible parasitic draw or failing alternator. Perform a current draw test and inspect accessories.,
I'm having a Key won't turn when driving,"Steering lock or ignition cylinder problem. Try jiggling wheel while turning key. Start with basic checks: fluids, belts, fuses, and visible leaks.",
The Suspension noise under load,"Inspect struts, shocks, bushings, and sway bar links for wear or looseness.",
I'm having a Car won't start intermittently,"Check battery voltage, starter operation, and fuel delivery. Try a jump start and scan for codes.",
The Tire vibration when accelerating,"Wheel imbalance or damaged tire. Check balance and inspect for uneven wear. Check the battery terminals, fuses, and listen for unusual noises.",
The Smoke from exhaust - blue at idle,"Blue smoke means oil burning; check valve seals, rings, or PCV system.",
The Windshield wipers not working when driving,"Check fuse, relay, or wiper motor; also inspect linkage. Try inspecting related components and let me know what you find.",
Getting a Cruise control not engaging under load,"Check brake/clutch switch, speed sensor, or cruise module.",
Getting a Rough idle in the lorry,"Vacuum leak, dirty throttle body, or ignition faults. Inspect hoses and perform throttle cleaning.",
Getting a Suspension noise lately,"Inspect struts, shocks, bushings, and sway bar links for wear or looseness. Start with basic checks: fluids, belts, fuses, and visible leaks.",
Getting a Rough idle after rain,"Vacuum leak, dirty throttle body, or ignition faults. Inspect hoses and perform throttle cleaning. If you're not comfortable, a shop can run a proper diagnostic for you.",
My Smoke from exhaust - blue under load,"Blue smoke means oil burning; check valve seals, rings, or PCV system. Start with basic checks: fluids, belts, fuses, and visible leaks.",
Check engine after refuel in the truck,A loose gas cap or EVAP system issue can trigger the light - tighten the cap and re-check.,
I'm having a Smoke from exhaust - blue in my light truck,"Blue smoke means oil burning; check valve seals, rings, or PCV system.",
My Door lock failure in my light truck,"Actuator or wiring problem; test lock motor and fuses. Check the battery terminals, fuses, and listen for unusual noises.",
I'm having a Headlight out lately,"Check bulb, fuse, and socket for corrosion or wiring issues.",
Sunroof won't close when accelerating,"Check motor, limit switches, and track debris. Check the battery terminals, fuses, and listen for unusual noises.",
Getting a Brake squeal under load,"Likely worn brake pads or glazing. Inspect pads, rotors and hardware; replace or clean as needed.",
Coolant leak after rain,"Inspect hoses, radiator, water pump, and head gasket. Pressure test the cooling system. Start with basic checks: fluids, belts, fuses, and visible leaks.",
Getting a Tire vibration,Wheel imbalance or damaged tire. Check balance and inspect for uneven wear.,
